year,uf_name,mortality,uf,pop,region_code,region_name,mortality_rate
2000,Acre,282,12,292868,1,Norte,18.519
2000,Alagoas,1424,27,1414036,2,Nordeste,21.654
2000,Amapá,266,16,247697,1,Norte,18.682
2000,Amazonas,1204,13,1439270,1,Norte,17.799
2000,Bahia,3809,29,6621913,2,Nordeste,15.902
2000,Ceará,2585,23,3721424,2,Nordeste,18.027
2000,Distrito Federal,482,53,1000555,5,Centro-Oeste,10.044
2000,Espírito Santo,722,32,1570468,3,Suldeste,12.367
2000,Goiás,1039,52,2554866,5,Centro-Oeste,10.966
2000,Maranhão,948,21,2906040,2,Nordeste,9.404
2000,Mato Grosso,817,51,1318812,5,Centro-Oeste,16.512
2000,Mato Grosso do Sul,711,50,1066702,5,Centro-Oeste,17.56
2000,Minas Gerais,4547,31,9070487,3,Suldeste,15.108
2000,Paraná,2552,41,4838830,4,Sul,14.22
2000,Paraíba,1077,25,1714679,2,Nordeste,18.754
2000,Pará,2185,15,3214366,1,Norte,17.295
2000,Pernambuco,3205,26,3923177,2,Nordeste,19.614
2000,Piauí,727,22,1440145,2,Nordeste,12.403
2000,Rio Grande do Norte,872,24,1397095,2,Nordeste,15.449
2000,Rio Grande do Sul,1874,43,5086392,4,Sul,10.604
2000,Rio de Janeiro,3639,33,7066424,3,Suldeste,14.044
2000,Rondônia,568,11,721059,1,Norte,18.143
2000,Roraima,109,14,170732,1,Norte,11.186
2000,Santa Catarina,1020,42,2731578,4,Sul,10.756
2000,Sergipe,878,28,899026,2,Nordeste,21.564
2000,São Paulo,8509,35,18475518,3,Suldeste,12.372
2000,Tocantins,439,17,609131,1,Norte,16.753
2001,Acre,227,12,302070,1,Norte,15.236
2001,Alagoas,1507,27,1431652,2,Nordeste,22.225
2001,Amapá,264,16,257995,1,Norte,18.071
2001,Amazonas,1050,13,1476003,1,Norte,14.946
2001,Bahia,3921,29,6679714,2,Nordeste,16.634
2001,Ceará,2268,23,3778811,2,Nordeste,15.215
2001,Distrito Federal,514,53,1028026,5,Centro-Oeste,10.962
2001,Espírito Santo,704,32,1593106,3,Suldeste,12.331
2001,Goiás,1005,52,2606777,5,Centro-Oeste,10.809
2001,Maranhão,1264,21,2951116,2,Nordeste,11.647
2001,Mato Grosso,727,51,1345915,5,Centro-Oeste,15.281
2001,Mato Grosso do Sul,686,50,1085172,5,Centro-Oeste,17.12
2001,Minas Gerais,3965,31,9170239,3,Suldeste,13.281
2001,Paraná,2058,41,4890726,4,Sul,12.303
2001,Paraíba,869,25,1733048,2,Nordeste,13.378
2001,Pará,2243,15,3288835,1,Norte,16.647
2001,Pernambuco,2909,26,3970220,2,Nordeste,17.727
2001,Piauí,752,22,1458391,2,Nordeste,12.835
2001,Rio Grande do Norte,762,24,1418220,2,Nordeste,14.236
2001,Rio Grande do Sul,1742,43,5123207,4,Sul,10.847
2001,Rio de Janeiro,3173,33,7149393,3,Suldeste,13.092
2001,Rondônia,494,11,732809,1,Norte,17.495
2001,Roraima,101,14,176925,1,Norte,10.521
2001,Santa Catarina,920,42,2777089,4,Sul,10.443
2001,Sergipe,954,28,913730,2,Nordeste,23.945
2001,São Paulo,7246,35,18713060,3,Suldeste,11.456
2001,Tocantins,435,17,620565,1,Norte,16.081
2002,Acre,221,12,311385,1,Norte,13.951
2002,Alagoas,1371,27,1448506,2,Nordeste,21.27
2002,Amapá,273,16,268167,1,Norte,19.231
2002,Amazonas,1000,13,1511272,1,Norte,14.15
2002,Bahia,3945,29,6731893,2,Nordeste,16.619
2002,Ceará,2487,23,3833161,2,Nordeste,17.362
2002,Distrito Federal,414,53,1055017,5,Centro-Oeste,9.039
2002,Espírito Santo,591,32,1614518,3,Suldeste,10.731
2002,Goiás,1089,52,2658452,5,Centro-Oeste,11.598
2002,Maranhão,1418,21,2992741,2,Nordeste,12.025
2002,Mato Grosso,726,51,1372425,5,Centro-Oeste,15.264
2002,Mato Grosso do Sul,581,50,1102922,5,Centro-Oeste,14.549
2002,Minas Gerais,3712,31,9260595,3,Suldeste,13.045
2002,Paraná,1992,41,4937349,4,Sul,12.064
2002,Paraíba,904,25,1750364,2,Nordeste,14.124
2002,Pará,1979,15,3361835,1,Norte,14.551
2002,Pernambuco,2797,26,4013997,2,Nordeste,17.923
2002,Piauí,766,22,1474764,2,Nordeste,13.598
2002,Rio Grande do Norte,824,24,1438254,2,Nordeste,15.474
2002,Rio Grande do Sul,1664,43,5153700,4,Sul,10.717
2002,Rio de Janeiro,2957,33,7225815,3,Suldeste,12.733
2002,Rondônia,472,11,743636,1,Norte,16.144
2002,Roraima,75,14,182985,1,Norte,8.343
2002,Santa Catarina,868,42,2820125,4,Sul,10.125
2002,Sergipe,819,28,927116,2,Nordeste,22.084
2002,São Paulo,6601,35,18935410,3,Suldeste,10.59
2002,Tocantins,413,17,631782,1,Norte,15.719
2003,Acre,215,12,320730,1,Norte,13.449
2003,Alagoas,1242,27,1464283,2,Nordeste,19.704
2003,Amapá,251,16,278384,1,Norte,17.001
2003,Amazonas,923,13,1545599,1,Norte,13.046
2003,Bahia,3871,29,6781399,2,Nordeste,16.196
2003,Ceará,2440,23,3884283,2,Nordeste,17.418
2003,Distrito Federal,418,53,1081732,5,Centro-Oeste,9.068
2003,Espírito Santo,610,32,1635534,3,Suldeste,11.42
2003,Goiás,1030,52,2709414,5,Centro-Oeste,11.186
2003,Maranhão,1421,21,3038320,2,Nordeste,11.109
2003,Mato Grosso,659,51,1399073,5,Centro-Oeste,13.577
2003,Mato Grosso do Sul,571,50,1120870,5,Centro-Oeste,14.549
2003,Minas Gerais,3589,31,9345167,3,Suldeste,12.597
2003,Paraná,1801,41,4979970,4,Sul,11.447
2003,Paraíba,932,25,1766476,2,Nordeste,14.536
2003,Pará,2290,15,3434350,1,Norte,15.814
2003,Pernambuco,2812,26,4056640,2,Nordeste,18.539
2003,Piauí,768,22,1488803,2,Nordeste,13.937
2003,Rio Grande do Norte,682,24,1457721,2,Nordeste,13.037
2003,Rio Grande do Sul,1634,43,5180286,4,Sul,10.954
2003,Rio de Janeiro,2839,33,7299715,3,Suldeste,12.224
2003,Rondônia,438,11,753639,1,Norte,15.204
2003,Roraima,103,14,189090,1,Norte,10.138
2003,Santa Catarina,797,42,2862103,4,Sul,9.582
2003,Sergipe,726,28,940165,2,Nordeste,19.683
2003,São Paulo,6226,35,19150096,3,Suldeste,10.197
2003,Tocantins,394,17,643081,1,Norte,15.123
2004,Acre,201,12,329900,1,Norte,12.12
2004,Alagoas,979,27,1478625,2,Nordeste,16.521
2004,Amapá,245,16,288454,1,Norte,17.536
2004,Amazonas,772,13,1578994,1,Norte,10.821
2004,Bahia,3633,29,6826922,2,Nordeste,15.496
2004,Ceará,2115,23,3932585,2,Nordeste,15.4
2004,Distrito Federal,413,53,1108211,5,Centro-Oeste,9.058
2004,Espírito Santo,541,32,1656251,3,Suldeste,10.161
2004,Goiás,967,52,2759156,5,Centro-Oeste,10.599
2004,Maranhão,1323,21,3084610,2,Nordeste,10.457
2004,Mato Grosso,684,51,1426292,5,Centro-Oeste,13.358
2004,Mato Grosso do Sul,655,50,1139022,5,Centro-Oeste,15.758
2004,Minas Gerais,3399,31,9425225,3,Suldeste,12.24
2004,Paraná,1715,41,5019728,4,Sul,10.743
2004,Paraíba,891,25,1781720,2,Nordeste,14.325
2004,Pará,2235,15,3506355,1,Norte,15.641
2004,Pernambuco,2439,26,4098414,2,Nordeste,16.3
2004,Piauí,697,22,1501791,2,Nordeste,12.731
2004,Rio Grande do Norte,731,24,1476636,2,Nordeste,14.388
2004,Rio Grande do Sul,1611,43,5205898,4,Sul,10.528
2004,Rio de Janeiro,2737,33,7373266,3,Suldeste,11.905
2004,Rondônia,403,11,763279,1,Norte,13.932
2004,Roraima,117,14,195436,1,Norte,12.01
2004,Santa Catarina,786,42,2904355,4,Sul,9.196
2004,Sergipe,645,28,952888,2,Nordeste,18.003
2004,São Paulo,5996,35,19363768,3,Suldeste,9.701
2004,Tocantins,362,17,654167,1,Norte,14.1
2005,Acre,248,12,339242,1,Norte,14.186
2005,Alagoas,1145,27,1492164,2,Nordeste,18.875
2005,Amapá,229,16,298183,1,Norte,16.121
2005,Amazonas,808,13,1613223,1,Norte,10.995
2005,Bahia,3657,29,6868204,2,Nordeste,15.827
2005,Ceará,1791,23,3980801,2,Nordeste,12.79
2005,Distrito Federal,429,53,1134740,5,Centro-Oeste,9.343
2005,Espírito Santo,553,32,1676448,3,Suldeste,10.554
2005,Goiás,954,52,2808083,5,Centro-Oeste,10.42
2005,Maranhão,1680,21,3130070,2,Nordeste,12.897
2005,Mato Grosso,671,51,1454452,5,Centro-Oeste,12.803
2005,Mato Grosso do Sul,596,50,1157136,5,Centro-Oeste,14.388
2005,Minas Gerais,3244,31,9501633,3,Suldeste,11.691
2005,Paraná,1639,41,5059587,4,Sul,10.223
2005,Paraíba,856,25,1796789,2,Nordeste,13.314
2005,Pará,2124,15,3577303,1,Norte,14.594
2005,Pernambuco,2382,26,4139324,2,Nordeste,15.661
2005,Piauí,769,22,1514800,2,Nordeste,13.523
2005,Rio Grande do Norte,665,24,1495802,2,Nordeste,12.708
2005,Rio Grande do Sul,1371,43,5230889,4,Sul,9.314
2005,Rio de Janeiro,2536,33,7444865,3,Suldeste,11.367
2005,Rondônia,366,11,772743,1,Norte,13.034
2005,Roraima,114,14,201592,1,Norte,11.76
2005,Santa Catarina,698,42,2947305,4,Sul,8.252
2005,Sergipe,702,28,965434,2,Nordeste,18.785
2005,São Paulo,5657,35,19577961,3,Suldeste,9.141
2005,Tocantins,312,17,665232,1,Norte,11.833
2006,Acre,236,12,348616,1,Norte,14.348
2006,Alagoas,938,27,1505195,2,Nordeste,16.31
2006,Amapá,260,16,308045,1,Norte,17.67
2006,Amazonas,855,13,1648471,1,Norte,11.312
2006,Bahia,3492,29,6904479,2,Nordeste,15.859
2006,Ceará,1747,23,4028695,2,Nordeste,12.939
2006,Distrito Federal,367,53,1161464,5,Centro-Oeste,8.128
2006,Espírito Santo,561,32,1695997,3,Suldeste,10.904
2006,Goiás,870,52,2856003,5,Centro-Oeste,9.945
2006,Maranhão,1599,21,3175078,2,Nordeste,12.519
2006,Mato Grosso,567,51,1482331,5,Centro-Oeste,11.449
2006,Mato Grosso do Sul,554,50,1174799,5,Centro-Oeste,14.02
2006,Minas Gerais,2997,31,9573944,3,Suldeste,11.261
2006,Paraná,1470,41,5098371,4,Sul,9.57
2006,Paraíba,805,25,1811439,2,Nordeste,13.365
2006,Pará,2171,15,3648433,1,Norte,14.454
2006,Pernambuco,2023,26,4179862,2,Nordeste,13.846
2006,Piauí,756,22,1527153,2,Nordeste,13.661
2006,Rio Grande do Norte,521,24,1514640,2,Nordeste,10.827
2006,Rio Grande do Sul,1208,43,5252453,4,Sul,8.547
2006,Rio de Janeiro,2350,33,7513889,3,Suldeste,10.758
2006,Rondônia,344,11,781899,1,Norte,13.801
2006,Roraima,145,14,207707,1,Norte,15.117
2006,Santa Catarina,700,42,2989625,4,Sul,8.32
2006,Sergipe,607,28,978145,2,Nordeste,16.378
2006,São Paulo,5552,35,19786752,3,Suldeste,9.202
2006,Tocantins,346,17,676501,1,Norte,13.293
2007,Acre,225,12,357802,1,Norte,13.903
2007,Alagoas,979,27,1517103,2,Nordeste,17.054
2007,Amapá,249,16,317853,1,Norte,17.262
2007,Amazonas,778,13,1683822,1,Norte,10.59
2007,Bahia,3104,29,6936820,2,Nordeste,14.084
2007,Ceará,1517,23,4074648,2,Nordeste,11.335
2007,Distrito Federal,313,53,1187756,5,Centro-Oeste,7.098
2007,Espírito Santo,516,32,1714878,3,Suldeste,10.114
2007,Goiás,815,52,2901886,5,Centro-Oeste,9.57
2007,Maranhão,1541,21,3217627,2,Nordeste,12.105
2007,Mato Grosso,540,51,1508708,5,Centro-Oeste,11.397
2007,Mato Grosso do Sul,547,50,1191439,5,Centro-Oeste,14.163
2007,Minas Gerais,2641,31,9640162,3,Suldeste,10.177
2007,Paraná,1326,41,5133959,4,Sul,8.987
2007,Paraíba,822,25,1824733,2,Nordeste,13.825
2007,Pará,2056,15,3718202,1,Norte,13.693
2007,Pernambuco,1941,26,4218665,2,Nordeste,13.564
2007,Piauí,762,22,1538292,2,Nordeste,14.32
2007,Rio Grande do Norte,570,24,1532242,2,Nordeste,11.857
2007,Rio Grande do Sul,1155,43,5269866,4,Sul,8.658
2007,Rio de Janeiro,2255,33,7581498,3,Suldeste,10.398
2007,Rondônia,311,11,790500,1,Norte,13.524
2007,Roraima,114,14,214011,1,Norte,11.897
2007,Santa Catarina,669,42,3030524,4,Sul,8.168
2007,Sergipe,506,28,990340,2,Nordeste,14.134
2007,São Paulo,5392,35,19989516,3,Suldeste,9.056
2007,Tocantins,314,17,687205,1,Norte,12.554
2008,Acre,201,12,367038,1,Norte,11.17
2008,Alagoas,856,27,1528789,2,Nordeste,14.739
2008,Amapá,274,16,327762,1,Norte,18.14
2008,Amazonas,810,13,1719400,1,Norte,10.796
2008,Bahia,2846,29,6967938,2,Nordeste,12.837
2008,Ceará,1491,23,4119576,2,Nordeste,11.134
2008,Distrito Federal,338,53,1213806,5,Centro-Oeste,7.652
2008,Espírito Santo,515,32,1734145,3,Suldeste,9.932
2008,Goiás,779,52,2947166,5,Centro-Oeste,8.907
2008,Maranhão,1552,21,3258302,2,Nordeste,12.096
2008,Mato Grosso,564,51,1534664,5,Centro-Oeste,11.327
2008,Mato Grosso do Sul,506,50,1208481,5,Centro-Oeste,12.273
2008,Minas Gerais,2685,31,9704734,3,Suldeste,10.291
2008,Paraná,1320,41,5168841,4,Sul,8.736
2008,Paraíba,727,25,1837553,2,Nordeste,11.733
2008,Pará,1998,15,3786729,1,Norte,13.209
2008,Pernambuco,1789,26,4257408,2,Nordeste,12.321
2008,Piauí,713,22,1548397,2,Nordeste,13.539
2008,Rio Grande do Norte,522,24,1549765,2,Nordeste,10.478
2008,Rio Grande do Sul,1164,43,5285956,4,Sul,8.613
2008,Rio de Janeiro,2158,33,7649276,3,Suldeste,9.998
2008,Rondônia,293,11,798753,1,Norte,10.937
2008,Roraima,116,14,220414,1,Norte,11.482
2008,Santa Catarina,640,42,3071392,4,Sul,7.506
2008,Sergipe,478,28,1002267,2,Nordeste,13.048
2008,São Paulo,5138,35,20193887,3,Suldeste,8.538
2008,Tocantins,288,17,697628,1,Norte,11.201
2009,Acre,200,12,376061,1,Norte,11.84
2009,Alagoas,812,27,1539548,2,Nordeste,14.638
2009,Amapá,259,16,337907,1,Norte,18.114
2009,Amazonas,803,13,1755127,1,Norte,10.604
2009,Bahia,2828,29,6997100,2,Nordeste,12.989
2009,Ceará,1450,23,4163142,2,Nordeste,11.036
2009,Distrito Federal,337,53,1239862,5,Centro-Oeste,7.671
2009,Espírito Santo,401,32,1753673,3,Suldeste,7.793
2009,Goiás,744,52,2991951,5,Centro-Oeste,8.504
2009,Maranhão,1498,21,3295187,2,Nordeste,12.116
2009,Mato Grosso,554,51,1560953,5,Centro-Oeste,11.428
2009,Mato Grosso do Sul,515,50,1226110,5,Centro-Oeste,12.787
2009,Minas Gerais,2406,31,9767865,3,Suldeste,9.522
2009,Paraná,1246,41,5204091,4,Sul,8.35
2009,Paraíba,653,25,1849875,2,Nordeste,10.88
2009,Pará,1897,15,3853019,1,Norte,13.253
2009,Pernambuco,1783,26,4296031,2,Nordeste,12.573
2009,Piauí,643,22,1557265,2,Nordeste,12.609
2009,Rio Grande do Norte,480,24,1567418,2,Nordeste,9.81
2009,Rio Grande do Sul,1044,43,5302245,4,Sul,7.811
2009,Rio de Janeiro,2235,33,7717780,3,Suldeste,10.317
2009,Rondônia,314,11,806701,1,Norte,12.038
2009,Roraima,128,14,226829,1,Norte,13.233
2009,Santa Catarina,610,42,3112712,4,Sul,7.306
2009,Sergipe,436,28,1013948,2,Nordeste,12.418
2009,São Paulo,5152,35,20401082,3,Suldeste,8.609
2009,Tocantins,294,17,707996,1,Norte,11.802
2010,Acre,180,12,384406,1,Norte,10.912
2010,Alagoas,707,27,1549231,2,Nordeste,13.053
2010,Amapá,227,16,347935,1,Norte,15.125
2010,Amazonas,731,13,1789736,1,Norte,9.853
2010,Bahia,2696,29,7022591,2,Nordeste,12.705
2010,Ceará,1189,23,4204905,2,Nordeste,9.229
2010,Distrito Federal,363,53,1265715,5,Centro-Oeste,8.203
2010,Espírito Santo,407,32,1772936,3,Suldeste,7.849
2010,Goiás,743,52,3035871,5,Centro-Oeste,8.494
2010,Maranhão,1376,21,3329311,2,Nordeste,11.508
2010,Mato Grosso,500,51,1586508,5,Centro-Oeste,10.219
2010,Mato Grosso do Sul,435,50,1243373,5,Centro-Oeste,10.839
2010,Minas Gerais,2226,31,9828254,3,Suldeste,8.725
2010,Paraná,1218,41,5238772,4,Sul,8.01
2010,Paraíba,617,25,1861223,2,Nordeste,10.511
2010,Pará,1835,15,3915560,1,Norte,13.043
2010,Pernambuco,1488,26,4332527,2,Nordeste,10.894
2010,Piauí,577,22,1565436,2,Nordeste,11.674
2010,Rio Grande do Norte,463,24,1584137,2,Nordeste,9.713
2010,Rio Grande do Sul,980,43,5317544,4,Sul,7.355
2010,Rio de Janeiro,2057,33,7785937,3,Suldeste,9.556
2010,Rondônia,316,11,814371,1,Norte,12.231
2010,Roraima,87,14,233153,1,Norte,8.934
2010,Santa Catarina,568,42,3153624,4,Sul,6.713
